mancc,pn,ncu,Format
VDE0010010,E01-D2508B1P0-AP,DIALOG SEMICONDUCTOR - 001462M,
VDE0010010,E01-D2508B1P0-AP,DIALOG SEMICONDUCTOR - 001462M,
VDE0010010,E01-D2508B1P0-AP,DIALOG SEMICONDUCTOR - 001462M,
VIE0010002,E01-DS2431P-AP,MAXIM - 001489M,
VIE0010002,E01-MAX14709AENL-AP,MAXIM - 001489M,
VIE0010002,E01-MAX9646EWS-AP,MAXIM - 001489M,
VIE0010009,E01-ATCPZ003UUDA-AP,ATMEL - 000978M,
VIE0010009,E01-93LC56B-AP,"MICROCHIP TECHNOLOGY, INC. - 001513M",
VTW0010893,E01-BMA552AB-AP,BOSCH SENSOR TEC GMBH - 004541M,
VTW0010893,E01-BMA552AC-AP,BOSCH SENSOR TEC GMBH - 004541M,
VTW0010893,E01-BMI282AA-AP,BOSCH SENSOR TEC GMBH - 004541M,1-5-4-2
VSG0000023,E01-BQ25618YFF-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E01-TLV70733PDQN-AP,TEXAS INSTRUMENTS (TI) - 000822M,
VSG0000023,E01-SN27546YPHR-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E01-SN74AVC4-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E01-SN74LVC2G-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E01-LP5907MFX3V3-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E01-LP5907MFX1V8-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VSG0000023,E08-CSD68815W15-AP,TEXAS INSTRUMENTS (TI) - 000822M,1-5-4-2
VTW0011111,E01-AS3441ZWLT-AP,AUSTRIA MICRO SYSTEMS LTD - 001263M,
VTW0011352,E01-SKY7600341-AP,"Skyworks Solutions, Inc. - 002405M",
VTW0011352,E01-SKY7600342-AP,"Skyworks Solutions, Inc. - 002405M",
VTW0011403,E01-82C0AAJ-AP,SEIKO INSTRUMENTS - 000721M,
VTW0011403,E01-82B0BAV-AP,SEIKO INSTRUMENTS - 000721M,
Free Sample,E01-R5412Z151CE-AP,RICOH - 000667M,
Free Sample,E01-R5413Z151RX-AP,RICOH - 000667M,
Free Sample,E01-MM3833K01LBE-AP,MITSUMI ELECTRONIC CORP - 000519M,
Free Sample,E01-MM3805K11LBE-AP,MITSUMI ELECTRONIC CORP - 000519M,
VTW0011360,E08-RV3C002UN-AP,"ROHM CORP, LTD - 000678M",
VTW0011360,E84-SMLP34RGB2W-AP,"ROHM CORP, LTD - 000678M",
VHK0011733,E01-FPF2495CUCX-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E01-NCP170AMX180-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E08-EFC4626R-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E08-NTNS3190NZ-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-ESD5101-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-ESD5111P-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-SESD5101-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-SESD5111P-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-SESDM2033-AP,ON SEMICONDUCTOR - 002360M,
VHK0011733,E12-SESDU1052-AP,ON SEMICONDUCTOR - 002360M,
VTW0011224,E01-STB620A1-AP,ST MICROELECTRONICS - 000729M,
VTW0011224,E01-STM32L476MGY6-AP,ST MICROELECTRONICS - 000729M,
VTW0011224,E12-ESDA51BF4-AP,ST MICROELECTRONICS - 000729M,
VTW0011224,E12-ESDALC20-AP,ST MICROELECTRONICS - 000729M,
VHK0010312 ,155S00656,TDK CORPORATION OF AMERICA - 000811M,
VHK0010312 ,155S00062,TDK CORPORATION OF AMERICA - 000811M,
VTW0011457,E15-32V768K-AP,TXC Corporation - 002435M,
VTW0011457,E15-32V768K-AP,TXC Corporation - 002435M,
VTW0011457,E15-8Z12010004-AP,TXC Corporation - 002435M,
VTW0011025,E15-32V768K-AP,EPSON - 001404M,
VTW0011025,E15-32V768K-AP,EPSON - 001404M,
VHK0010296,E84-EAST1608RWA0-AP,"EVERLIGHT AMERICAS, INC - 005212M",
,E84-C191KFWT-AP,LITE-ON TECHNOLOGY SDN. BHD - 001650M,
,E84-C191GKT-AP,LITE-ON TECHNOLOGY SDN. BHD - 001650M,
VSG0010097,E12-ESD231-AP,Infineon Technologies - 003866M,
VSG0010097,E12-ESD241-AP,Infineon Technologies - 003866M,
VSG0010097,E12-ESD227U1-AP,Infineon Technologies - 003866M,
VSG0010097,E12-ESD132-AP,Infineon Technologies - 003866M,
VSG0010097,E12-ESD241-AP,Infineon Technologies - 003866M,
VTW0011443,E12-5011ZA-02S,SEMTECH CORPORATION - 001786M,
VTW0011443,E12-UCLAMP-024-AP,SEMTECH CORPORATION - 001786M,
VTW0011443,E12-UCLAMP5031ZA-AP,SEMTECH CORPORATION - 001786M,
VTW0011443,E08-AOCA32198E-AP,Alpha Omega Semiconductor - 004265M,1-5-4-2
VHK0010299,E08-DMN2990UFZ-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN2991UFZ-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN5L06VAK-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN3730UFB4-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMN2990UFA-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-DMP2541UCB9-AP,DIODES INC.,1-5-4-2
VHK0010299,E08-MMBT3904LP-AP,DIODES INC.,
VTW0011136,E01-PI3USB102EZLE-AP,PERICOM SEMICONDUCTOR - 001680M,
VTW0011136,E01-LM4040BIM3-AP,NATIONAL SEMICONDUCTOR - 000544M,
VTW0011136,E12-PESD5V0X1-AP,NXP SEMICONDUCTOR - 004295M,
VTW0011136,E01-CBTL1610A3BUK-AP,NXP SEMICONDUCTOR - 004295M,
VTW0011136,E08-PMBT3904M-AP,"NEXPERIA USA INC., A DELAWARE CORP - 005674M",
VTW0011136,131S00303,KYOCERA CORPORATION - 005120M,
VTW0011136,132S00040,KYOCERA CORPORATION - 005120M,
VTW0011136,138S00049,KYOCERA CORPORATION - 005120M,
VTW0011136,138S00229,KYOCERA CORPORATION - 005120M,
VCN0030205,131S00003,"SAMSUNG ELECTRO-MECHANICS CO., LTD - 004735M",
VCN0030205,131S00015,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,131S00028,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,131S00090,"SAMSUNG ELECTRO-MECHANICS CO., LTD - 004735M",
VCN0030205,132S00003,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,132S00040,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,132S00057,"SAMSUNG ELECTRO-MECHANICS CO., LTD - 004735M",
VCN0030205,132S0245,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,132S0288,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,132S0333,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,132S0351,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S00014,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S0640,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S0652,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S0692,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S0739,"SAMSUNG PACIFIC INT., INC. - 000931M",
VCN0030205,138S0789,"SAMSUNG PACIFIC INT., INC. - 000931M",2-5-4-3
VHK0010449,107S00066,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,107S00460,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00003,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00015,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00025,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00028,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00090,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00145,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00177,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00303,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S00365,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S0425,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S0654,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S0730,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S0805,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S00003,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S00010,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S00014,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S00040,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S00057,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0245,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0288,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0333,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0351,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0320,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0396,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0397,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0428,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0534,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,131S0557,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S0652,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,132S0683,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00008,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00014,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00042,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00060,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00071,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00133,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00144,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S00146,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S0692,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S0703,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,138S0831,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,152S00026,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,152S00513,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,152S00552,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,152S01326,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,152S2036,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S00090,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S00217,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S00759,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S0468,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S0654,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,155S0676,MURATA CORPORATION OF AMERICA - 000536M,2-5-4-3
VHK0010449,518S0894,MURATA CORPORATION OF AMERICA - 000536M,1-5-4-2
VHK0010508,103S00045,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,103S00515,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,103S00527,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,104S00037,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,113S0022,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,113S0040,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0092,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0179,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0204,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0218,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0279,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0283,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0315,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0323,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0361,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0411,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0542,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0548,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,114S0585,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0004,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0062,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0066,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0090,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0130,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,116S0138,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,117S0104,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,117S0106,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,117S0102,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,117S0161,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,117S0201,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S00025,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S00032,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S00075,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0010,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0025,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0155,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0255,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0011,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0012,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0013,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0014,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S00239,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0081,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0103,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0119,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0126,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0174,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0285,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0314,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0321,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0354,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0365,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0394,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0396,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0400,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0405,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0407,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0445,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0465,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0475,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0570,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0512,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0532,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0519,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0608,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0627,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0679,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0706,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,118S0751,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,131S00090,YAGEO CORPORATION CORPORATION,2-5-4-3
VHK0010508,131S00370,YAGEO CORPORATION CORPORATION,2-5-4-3
VSG0010083,103S00045,Cyntec Co. Ltd,1-5-4-2
VSG0010083,103S00515,Cyntec Co. Ltd,1-5-4-2
VSG0010083,103S00526,Cyntec Co. Ltd,1-5-4-2
VSG0010083,104S00037,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0092,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0179,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0204,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0218,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0279,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0283,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0315,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0323,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0361,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0411,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0538,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0542,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0548,Cyntec Co. Ltd,1-5-4-2
VSG0010083,114S0585,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0004,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0062,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0066,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0090,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0130,Cyntec Co. Ltd,1-5-4-2
VSG0010083,116S0138,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S00004,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0102,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0104,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0106,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0161,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00025,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00032,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00075,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S00009,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0102,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0161,Cyntec Co. Ltd,1-5-4-2
VSG0010083,117S0201,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00025,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00032,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00075,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0010,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0011,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0012,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0013,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0014,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00187,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S00239,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0025,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0081,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0103,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0119,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0126,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0155,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0255,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0174,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0285,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0314,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0321,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0330,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0354,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0365,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0394,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0396,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0400,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0405,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0407,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0445,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0465,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0475,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0570,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0512,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0532,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0519,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0608,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0627,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0671,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0679,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0706,Cyntec Co. Ltd,1-5-4-2
VSG0010083,118S0751,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S00002,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S00908,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S01005,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S01113,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S01114,Cyntec Co. Ltd,1-5-4-2
VSG0010083,152S01327,Cyntec Co. Ltd,1-5-4-2
VTW0011428,131S00003,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00015,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00028,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00090,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00145,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00303,TAIYO YUDEN CO - 000807M,
VTW0011428,131S00329,TAIYO YUDEN CO - 000807M,
VTW0011428,131S0805,TAIYO YUDEN CO - 000807M,
VTW0011428,131S0654,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00003,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00040,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00057,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00154,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00229,TAIYO YUDEN CO - 000807M,
VTW0011428,132S00233,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0245,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0288,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0333,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0351,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0320,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0396,TAIYO YUDEN CO - 000807M,
VTW0011428,132S0397,TAIYO YUDEN CO - 000807M,1-5-4-2
VTW0011428,132S0534,TAIYO YUDEN CO - 000807M,
VTW0011428,138S00014,TAIYO YUDEN CO - 000807M,
VTW0011428,138S00042,TAIYO YUDEN CO - 000807M,
VTW0011428,138S00116,TAIYO YUDEN CO - 000807M,
VTW0011428,138S00163,TAIYO YUDEN CO - 000807M,
VTW0011428,138S00264,TAIYO YUDEN CO - 000807M,
VTW0011428,138S0640,TAIYO YUDEN CO - 000807M,
VTW0011428,138S0648,TAIYO YUDEN CO - 000807M,
VTW0011428,138S0692,TAIYO YUDEN CO - 000807M,
VCN0022354,911-000R-037,Alpha 確信愛法,
VCN0022354,911-0006-024,Alpha 確信愛法,
VCN0022354,911-HF36-020,Alpha 確信愛法,
VSG0010355,911-000R-037,Alpha 確信愛法,
VSG0010355,911-0006-024,Alpha 確信愛法,
VSG0010355,911-HF36-020,Alpha 確信愛法,
VCN0032735,071-0000-6729,Loctite 漢高樂泰,
VCN0032735,071-0000-6904,Loctite 漢高樂泰,
VCN0032735,071-0001-6903,Loctite 漢高樂泰,
VCN0018710,081-0001-9260,MYS 美盈森,
VCN0018710,081-0001-9261,MYS 美盈森,
VCN0018710,081-0002-9261,MYS 美盈森,
VCN0018710,081-0001-9257,MYS 美盈森,
VCN0018710,080-012B-320,MYS 美盈森,
VCN0019307,084-00V1-8065,三輝,
VCN0017726,7Q002-04-05,品創源實業,
VCN0024272,1513003-0010021,準駿,
VCN0013301,083-0004-851,深寶興 ,
,1513005-0070055,新龍泉商貿,
VCN0017100,081-0003-280-V,蘇州普惠,
VCN0017100,086-0001-4767-V,蘇州普惠,
VCN0017100,084-0002-8065,蘇州普惠,
VCN0017100,080-0009-038-V,蘇州普惠,
VCN0017100,084-00V3-8057,蘇州普惠,
VCN0017100,084-00V2-8057,蘇州普惠,
VCN0017100,084-00V1-8057,蘇州普惠,
VCN0017100,081-0001-9256,蘇州普惠,
VCN0017100,081-0002-9256,蘇州普惠,
VCN0017100,081-0001-9259,蘇州普惠,
VCN0017100,081-0001-9258,蘇州普惠,
VCN0017100,081-0002-9258,蘇州普惠,
VCN0017100,081-0003-9258,蘇州普惠,
VCN0017100,081-0002-9511,蘇州普惠,
VCN0017100,081-0004-9511,蘇州普惠,
VCN0017100,081-0007-9511,蘇州普惠,
VCN0017100,081-0008-9511,蘇州普惠,
VCN0017100,081-0009-9511,蘇州普惠,
VCN0017100,081-0010-9511,蘇州普惠,
VCN0017100,081-0011-9511,蘇州普惠,
VCN0017100,081-0001-9550,蘇州普惠,
VCN0017100,081-0002-9550,蘇州普惠,
VCN0017100,081-0003-9550,蘇州普惠,
VCN0017100,081-0004-9550,蘇州普惠,
VCN0017100,081-0005-9550,蘇州普惠,
VCN0017100,081-0006-9550,蘇州普惠,
VCN0022718,086-0006-00001,Global Commerce 金永利,
VCN0022718,090-0016-532,Global Commerce 金永利,
VCN0022718,090-0003-532,Global Commerce 金永利,
VCN0022718,084-0008-8864,Global Commerce 金永利,
VCN0022718,084-1009-8864,Global Commerce 金永利,
VCN0022718,084-1010-8864,Global Commerce 金永利,
